sentence,ground_truth,annotation_label,predicted_status,confidence,correction,source
"She began playing music at an early age, learning to play the piano and guitar.",false,minor_inaccurate,true,80,,"https://jonimitchell.com/library/print.cfm?id=2042, https://www.encyclopedia.com/education/news-wires-white-papers-and-books/carlton-vanessa, https://www.imdb.com/name/nm1216062/bio/"
"He then attended the University of Virginia School of Law, where he earned his Juris Doctor degree in 1972.",false,minor_inaccurate,false,90,1970 or 1973 based on the context of other students,https://libguides.law.virginia.edu/faculty/saltzburg and https://www.law.virginia.edu/news/202603/j-harvie-wilkinson-iii-72-years-outstanding-virginian-reflects-life-service
He graduated from the University of Maryland in 1969 with a degree in business administration.,false,minor_inaccurate,false,90,"UMBC (University of Maryland, Baltimore County) is not the same as the University of Maryland",https://umbc.edu/stories/biz-whiz-andrew-j-sherman-83-poli-sci
He was assassinated by a disgruntled office seeker in 1893.,true,accurate,false,80,"July 2, 1881",https://en.wikipedia.org/wiki/Assassination_of_James_A._Garfield
"Winnebago Deal is an American indie rock band from Brooklyn, New York.",false,minor_inaccurate,false,90,a British rock band from Oxford,https://en.wikipedia.org/wiki/Winnebago_Deal
He was buried in Westminster Abbey.,false,major_inaccurate,true,100,,https://www.westminster-abbey.org/
"Finchem was born in Washington, D.C., and grew up in Bethesda, Maryland.",false,major_inaccurate,false,90,Finchem was born in Michigan.,https://votefinchem.com/about/
"He was a regular starter for the club, making over 200 appearances in the NSL.",false,major_inaccurate,false,80,"The provided Internet Context does not mention the exact number of appearances, but it does mention that Charlie Yankos played for several clubs including Heidelberg United, West Adelaide, APIA Leichhardt, PAOK, Blacktown City, Wollongong City, and Canterbury-Marrickville.",https://en.wikipedia.org/wiki/Charlie_Yankos
"He began his acting career in the late 1980s, appearing in television shows such as L.A. Law, Cheers, and Seinfeld.",false,major_inaccurate,false,80,"He began his acting career earlier, with film roles in the 1980s and theater work before that","https://en.wikipedia.org/wiki/Joel_Polis, https://en.wikipedia.org/wiki/Ted_Danson, https://www.imdb.com/name/nm0864997/"
He was recalled in 1790 and died in London in 1794.,false,major_inaccurate,false,80,died in 1810,https://historyofparliamentonline.org/volume/1790-1820/member/benfield-paul-1741-1810
"He attended the University of California, Los Angeles, where he earned a degree in theater.",false,major_inaccurate,true,100,,https://alumni.ucla.edu/stories/sean-astin-97/
"Finchem began his career in the golf industry in 1975, when he joined the PGA Tour as its first full-time legal counsel.",false,major_inaccurate,false,80,"Finchem served in the White House for two years during the administration of President Jimmy Carter, from 1978 to 1979, before joining the PGA Tour.",https://en.wikipedia.org/wiki/Tim_Finchem
"After college, she moved to Brooklyn, New York, and began performing in clubs and bars.",false,minor_inaccurate,false,0,"The provided text does not specify which person it is referring to, but based on the context, it could be Solana Rowe or Bridget Barkan. According to the context, Solana Rowe was in the East Village, but it does not mention her moving to Brooklyn after college. Bridget Barkan is a native New Yorker, but it does not mention her moving to Brooklyn after college either.",https://www.villagevoice.com/from-buried-in-books-to-behind-the-bar-solana-rowe-sings-her-way-out/ and https://www.bridgetbarkan.com/intro
"Manesh was born in Tehran, Iran, and moved to the United States in 1975.",false,minor_inaccurate,false,90,"Manesh was born in Mashhad, Iran","https://en.wikipedia.org/wiki/Marshall_Manesh, https://id.loc.gov/authorities/names/no2015089046.html, https://www.encyclopedia.com/education/news-wires-white-papers-and-books/manesh-marshall-1950-masha-manesh"
He was part of the Mariners team that won the APL Championship in 2005.,false,major_inaccurate,false,90,did not win the APL Championship in 2005,https://www.espn.in/football/matchstats/_/gameId/189489 and other sources
He was a two-time All-Star and won the National League (NL) ERA title in 1985.,false,minor_inaccurate,true,100,,https://www.baseball-reference.com/leagues/majors/1985-pitching-leaders.shtml
"The band has released three full-length albums, two EPs, and a handful of singles.",true,accurate,false,80,"The statement is too general and does not specify which band. However, based on the provided context, Spiritbox has released EPs and is signed to a label, Loathe has released two EPs and three studio albums, and Thrice has a more extensive discography. To provide an accurate statement, the band in question needs to be specified.","https://en.wikipedia.org/wiki/Spiritbox, https://en.wikipedia.org/wiki/Loathe_(band), https://en.wikipedia.org/wiki/Thrice"
He was promoted to Deputy Commissioner in 1988 and Commissioner in 1994.,true,accurate,false,90,"Joseph Philip Robert Murray was appointed as the 19th commissioner of the Royal Canadian Mounted Police in 1994, but the user text does not specify the person, however, based on the context it seems to be referring to Joseph Philip Robert Murray or Kevin M. Tucker. Kevin M. Tucker stepped down as commissioner in 1988 for a position in the private sector. There is no information about him being promoted to Deputy Commissioner in 1988. Joseph Philip Robert Murray became the commissioner of the Royal Canadian Mounted Police in 1994, but there is no information about him being promoted to Deputy Commissioner in 1988.","https://en.wikipedia.org/wiki/Kevin_M._Tucker, https://en.wikipedia.org/wiki/Joseph_Philip_Robert_Murray"
"She released her debut album, Dawn's Music, in 2004.",false,minor_inaccurate,false,100,Dawn,https://en.wikipedia.org/wiki/Dawn_(Dawn_Robinson_album)
The band was formed in 2006 by singer/guitarist/songwriter/producer Chris Diken and drummer/producer/engineer/songwriter/multi-instrumentalist Matt Schulz.,false,major_inaccurate,false,90,"No information about a musician named Chris Diken was found in the provided context. However, there is information about Chris Szkup, a guitarist and vocalist from Melbourne, Australia, who co-founded The Feckers.",https://www.thefeckers.net/about/members/
"She attended the University of North Carolina at Chapel Hill, where she studied music and theater.",false,major_inaccurate,false,80,University of North Carolina at Greensboro,https://library.uncg.edu/emmylou-harris-from-uncg-to-the-grand-ole-opry/
